Group no.	Hierarchy level	RDA element	Element name									Occurrence count	Hierarchical consistency code: Code 1	Code 2	Code 3	DC term							
1	1	rdae:P20053	creator agent of expression									1	0		0	dct:contributor							
1	2		rdae:P20037	translator agent								1	1		1	dct:contributor							
1	3			rdae:P20346	translator person							2	1		1	dct:contributor							
1	3			rdae:P20405	translator collective agent							2	1		1	dct:contributor							
1	4				rdae:P20464	translator corporate body						3	1		1	dct:contributor							
1	4				rdae:P20523	translator family						3	1		1	dct:contributor							
1	2		rdae:P20327	reviser agent								1	1		1	dct:contributor							
1	3			rdae:P20029	arranger agent of music							1	1		1	dct:contributor							
1	4				rdae:P20365	arranger person of music						3	1		1	dct:contributor							
1	4				rdae:P20424	arranger collective agent of music						3	1		1	dct:contributor							
1	5					rdae:P20483	arranger corporate body of music					6	1		1	dct:contributor							
1	5					rdae:P20542	arranger family of music					6	1		1	dct:contributor							
1	3			rdae:P20034	transcriber agent							1	1		1	dct:contributor							
1	4				rdae:P20359	transcriber person						3	1		1	dct:contributor							
1	4				rdae:P20418	transcriber collective agent						3	1		1	dct:contributor							
1	5					rdae:P20477	transcriber corporate body					6	1		1	dct:contributor							
1	5					rdae:P20536	transcriber family					6	1		1	dct:contributor							
1	3			rdae:P20049	abridger agent							1	1		1	dct:contributor							
1	4				rdae:P20357	abridger person						3	1		1	dct:contributor							
1	4				rdae:P20416	abridger collective agent						3	1		1	dct:contributor							
1	5					rdae:P20475	abridger corporate body					6	1		1	dct:contributor							
1	5					rdae:P20534	abridger family					6	1		1	dct:contributor							
1	3			rdae:P20287	censor agent							1	1		1	dct:contributor							
1	4				rdae:P20356	censor person						3	1		1	dct:contributor							
1	4				rdae:P20415	censor collective agent						3	1		1	dct:contributor							
1	5					rdae:P20474	censor corporate body					6	1		1	dct:contributor							
1	5					rdae:P20533	censor family					6	1		1	dct:contributor							
1	3			rdae:P20289	restorationist agent of expression							1	1		1	dct:contributor							
1	4				rdae:P20355	restorationist person of expression						3	1		1	dct:contributor							
1	4				rdae:P20414	restorationist collective agent of expression						3	1		1	dct:contributor							
1	5					rdae:P20473	restorationist corporate body of expression					6	1		1	dct:contributor							
1	5					rdae:P20532	restorationist family of expression					6	1		1	dct:contributor							
1	3			rdae:P20347	reviser person							2	1		1	dct:contributor							
1	4				rdae:P20355	restorationist person of expression						3	1		1	dct:contributor							
1	4				rdae:P20356	censor person						3	1		1	dct:contributor							
